"课程","单元","章节","标题","pro字数","kid字数","节数(pro/kid)","题数","简单","中等","困难","题型数","演示","SVG","状态"
"面向对象编程","单元一 从世界到代码","oop-01","第1讲 什么是面向对象","1846","1045","5/5","10","4","4","2","4","—","有","OK"
"面向对象编程","单元一 从世界到代码","oop-02","第2讲 类与对象","2112","1207","5/5","10","4","4","2","6","oop-model","有","OK"
"面向对象编程","单元一 从世界到代码","oop-03","第3讲 封装：把细节藏起来","2503","1128","5/5","10","4","4","2","6","—","有","OK"
"面向对象编程","单元二 复用与多态","oop-04","第4讲 继承：站在巨人的肩膀上","2894","1117","5/5","10","4","4","2","6","—","有","OK"
"面向对象编程","单元二 复用与多态","oop-05","第5讲 多态：一个命令，多种作答","2450","1005","5/5","10","4","4","2","5","oop-model","有","OK"
"面向对象编程","单元二 复用与多态","oop-06","第6讲 抽象类与接口","2481","909","5/5","10","4","4","2","5","—","有","OK"
"面向对象编程","单元三 设计思维","oop-07","第7讲 SOLID 五大设计原则","5816","1420","6/6","10","4","4","2","5","—","有","OK"
"面向对象编程","单元三 设计思维","oop-08","第8讲 常用设计模式","5111","1327","6/6","10","4","4","2","5","—","有","OK"
"面向对象编程","单元四 工程实践","oop-09","第9讲 用 UML 给世界建模","3755","1602","5/5","10","4","4","2","5","oop-model","有","OK"
"面向对象编程","单元四 工程实践","oop-10","第10讲 综合实战：从设计到代码","4191","1462","5/5","10","4","4","2","5","—","有","OK"
"数据结构与算法","单元一 入门：算法的思维方式","alg-01","第1讲 算法的思维方式","1665","1224","5/5","10","4","4","2","6","bigo","有","OK"
"数据结构与算法","单元一 入门：算法的思维方式","alg-02","第2讲 数组与链表","1525","1050","5/5","10","4","4","2","6","—","有","OK"
"数据结构与算法","单元二 栈、队列与树","alg-03","第3讲 栈与队列","1671","1109","5/5","10","4","4","2","6","—","有","OK"
"数据结构与算法","单元二 栈、队列与树","alg-04","第4讲 二叉树与遍历","1724","1163","5/5","10","4","4","2","6","—","有","OK"
"数据结构与算法","单元二 栈、队列与树","alg-05","第5讲 二叉搜索树与平衡","1780","1066","5/5","10","4","4","2","6","searching","有","OK"
"数据结构与算法","单元三 堆与哈希","alg-06","第6讲 堆与优先队列","1733","1063","5/5","10","4","4","2","6","sorting","有","OK"
"数据结构与算法","单元三 堆与哈希","alg-07","第7讲 哈希表","2194","1264","5/5","10","4","4","2","5","searching","有","OK"
"数据结构与算法","单元四 排序与查找","alg-08","第8讲 基础排序三兄弟","1969","1288","5/5","10","4","4","2","5","sorting","有","OK"
"数据结构与算法","单元四 排序与查找","alg-09","第9讲 高效排序双雄","2304","1381","5/5","10","4","4","2","5","sorting","有","OK"
"数据结构与算法","单元四 排序与查找","alg-10","第10讲 查找的艺术","2064","1290","5/5","10","4","4","2","5","searching","有","OK"
"数据结构与算法","单元五 图","alg-11","第11讲 图与图的遍历","2863","1340","5/5","10","4","4","2","5","graphtravel","有","OK"
"数据结构与算法","单元五 图","alg-12","第12讲 最短路径与最小生成树","3370","1381","5/5","10","4","4","2","5","graphtravel","有","OK"
"数据结构与算法","单元六 算法设计","alg-13","第13讲 分治、贪心与动态规划","1787","1035","5/5","10","4","4","2","6","—","有","OK"
"数据结构与算法","单元六 算法设计","alg-14","第14讲 复杂度进阶：难解问题","2316","1559","5/5","10","4","4","2","5","—","有","OK"
"计算机组成原理","单元一 数字基石：信息在机器里长什么样","coa-01","第1讲 从 0 和 1 说起","1774","1178","5/5","10","4","4","2","5","—","有","OK"
"计算机组成原理","单元一 数字基石：信息在机器里长什么样","coa-02","第2讲 数字的机器表达","2109","1548","6/6","10","4","4","2","5","float","有","OK"
"计算机组成原理","单元一 数字基石：信息在机器里长什么样","coa-03","第3讲 从晶体管到逻辑门","1900","1116","5/5","10","4","4","2","5","—","有","OK"
"计算机组成原理","单元二 一颗 CPU 的诞生","coa-04","第4讲 指令系统：计算机的菜谱","2098","1356","6/6","10","4","4","2","6","—","有","OK"
"计算机组成原理","单元二 一颗 CPU 的诞生","coa-05","第5讲 运算器与数据通路","1856","1055","5/5","10","4","4","2","5","—","有","OK"
"计算机组成原理","单元二 一颗 CPU 的诞生","coa-06","第6讲 指令流水线","2096","1249","6/6","10","4","4","2","5","pipeline","有","OK"
"计算机组成原理","单元三 存储的阶梯","coa-07","第7讲 存储层次与局部性","2170","1243","5/5","10","4","4","2","6","cache","有","OK"
"计算机组成原理","单元三 存储的阶梯","coa-08","第8讲 高速缓存 Cache 深入","2719","1463","5/5","10","4","4","2","5","cache","有","OK"
"计算机组成原理","单元三 存储的阶梯","coa-09","第9讲 虚拟内存与地址翻译","2873","1409","5/5","10","4","4","2","5","paging","有","OK"
"计算机组成原理","单元四 与世界的接口","coa-10","第10讲 总线与 IO 接口","2848","1594","6/6","10","4","4","2","5","—","有","OK"
"计算机组成原理","单元四 与世界的接口","coa-11","第11讲 存储设备与 DMA","2662","1427","5/5","10","4","4","2","5","—","有","OK"
"计算机组成原理","单元五 研究生进阶导读","coa-12","第12讲 现代处理器面面观","3377","1579","5/5","10","4","4","2","5","—","有","OK"
"操作系统","单元一 操作系统是什么","os-01","第1讲 操作系统的角色","1568","1168","5/5","10","4","4","2","5","—","有","OK"
"操作系统","单元一 操作系统是什么","os-02","第2讲 内核与系统调用","1741","1042","5/5","10","4","4","2","5","—","有","OK"
"操作系统","单元二 进程与并发","os-03","第3讲 进程与线程","3022","1499","5/5","10","4","4","2","5","—","有","OK"
"操作系统","单元二 进程与并发","os-04","第4讲 进程调度","2781","1466","5/5","10","4","4","2","5","scheduling","有","OK"
"操作系统","单元二 进程与并发","os-05","第5讲 同步与互斥","3000","1295","5/5","10","4","4","2","5","—","有","OK"
"操作系统","单元二 进程与并发","os-06","第6讲 死锁","3440","1300","5/5","10","4","4","2","5","deadlock","有","OK"
"操作系统","单元三 内存管理","os-07","第7讲 从物理到虚拟：地址空间与分页","2709","1519","5/5","10","4","4","2","5","paging","有","OK"
"操作系统","单元三 内存管理","os-08","第8讲 虚拟内存与页面置换","3676","1660","5/5","10","4","4","2","5","paging","有","OK"
"操作系统","单元三 内存管理","os-09","第9讲 程序在内存里如何安家","2250","1102","5/5","10","4","4","2","5","memptr","有","OK"
"操作系统","单元四 文件与 IO","os-10","第10讲 文件系统","1727","1224","5/5","10","4","4","2","5","—","有","OK"
"操作系统","单元四 文件与 IO","os-11","第11讲 IO 与设备管理","1896","1141","5/5","10","4","4","2","5","—","有","OK"
"操作系统","单元五 进阶导读","os-12","第12讲 虚拟化与容器","2045","1214","5/5","10","4","4","2","5","—","有","OK"
